渠道,品牌,种类,规格,个数,不加税价格 (¥),含税价格 (¥),美元价格 ($),库存,口味/描述
华盛,黑马,滤嘴,8*22mm 8*2mm,60pcs,8.82,13.23,1.30,无货,黑马常规长滤嘴 Dark Horse Regular Long Filter 8*22mm 60pcs
华盛,T&T,滤嘴,6*15mm,120pcs,8.93,13.39,1.32,无货,T&T 超细滤嘴 T&T Slim Filter Tips 6*15 120pcs
华盛,T&T,滤嘴,6*22mm 6*2mm,120pcs,8.93,13.39,1.32,有货,T&T 常规长滤嘴 T&T Regular Long Filter 6*22mm 120pcs
华盛,T&T,滤嘴,8*22mm 8*2mm,100pcs,8.93,13.39,1.32,有货,T&T 常规长滤嘴 T&T Regular Long Filter 8*22mm 100pcs
华盛,T&T,滤嘴,8*15mm 8*1mm,100pcs,8.93,13.39,1.32,有货,T&T 常规细长滤嘴 T&T Regular Filter Tips Filter 8*15mm 100pcs
华盛,老人牌,滤嘴,8*15mm 8*1mm,100pcs,9.43,14.14,1.39,有货,老人牌常规滤嘴 Zig Zag Regular Filter Tips 8*15mm 100pcs
华盛,老人牌,滤嘴,6*22mm 6*2mm,100pcs,9.43,14.14,1.39,有货,老人牌细滤嘴 Zig Zag Slim Filter 6*22mm 100pcs
华盛,虎牌,滤嘴,6*15mm 6*1mm,,9.69,14.54,1.43,有货,虎牌6毫米滤嘴 Mascotte Slim Filter  6*15mm
华盛,虎牌,滤嘴,7*15mm 7*1mm,,9.69,14.54,1.43,有货,虎牌7毫米滤嘴 Mascotte Regular Filter 7*15mm
华盛,老人牌,滤嘴,5*15mm 5*1mm,150pcs,10.11,15.16,1.49,有货,老人牌细滤嘴 Zig Zag Ultra Slim Filter 5*15mm 150pcs
华盛,煙先生,滤嘴,6*15mm 6*1mm,120pcs,10.64,15.96,1.57,无货,烟先生细长滤嘴 Smoking Slim Filter 6*15mm 120pcs
华盛,煙先生,滤嘴,5.7*14mm 5.7*1mm,120pcs,11.02,16.53,1.62,无货,烟先生特细滤嘴 Smoking Ultra Slim Filter 5.7*14 mm 120pcs
华盛,黑马,滤嘴,8*15mm 8*1mm,,11.47,17.21,1.69,有货,黑马薄荷常规滤嘴 Dark Horse Regular Filter Menthol 8*15mm
华盛,黑马,滤嘴,6*22mm 6*2mm,,11.47,17.21,1.69,无货,黑马薄荷长细滤嘴 Dark Horse Menthol Slim Long Filter Tips 6*22mm
华盛,黑马,滤嘴,6*15mm 6*1mm,,11.53,17.29,1.70,无货,黑马细滤嘴 Dark Horse Slim Filter Menthol 6*15mm
华盛,黑马,滤嘴,6*22mm 6*2mm,100s,11.53,17.29,1.70,无货,黑马长细长滤嘴 Dark Horse slim long filter 6*22mm 100s
华盛,黑马,滤嘴,7*15mm 7*1mm,,11.53,17.29,1.70,有货,黑马细滤嘴 Dark Horse Slim Filter 7*15mm
华盛,黑马,滤嘴,6*15mm 6*1mm,,11.53,17.29,1.70,有货,黑马细滤嘴 Dark Horse Slim Filter 6*15mm
华盛,煙先生,滤嘴,7.5*15mm 7.5*1mm,120pcs,11.58,17.37,1.71,无货,烟先生常规滤嘴 Smoking Regular Filter 7.5*15mm 120pcs
华盛,老人牌,滤嘴,6*15mm 6*1mm,150pcs,12.10,18.15,1.78,有货,老人牌细滤嘴 Zig Zag Slim Filter Tips 6*15mm 150pcs
华盛,老人牌,滤嘴,6*15mm 6*1mm,150pcs,12.10,18.15,1.78,有货,老人牌薄荷细滤嘴 Zig Zag Menthol Slim Filter 6*15mm 150pcs
华盛,黑马,滤嘴,6*15mm 6*1mm,,13.31,19.96,1.96,有货,黑马薄荷爆珠滤嘴 Dark Horse Menthol Crush Filter 6*15mm
华盛,极限常规长滤嘴,滤嘴,8*22mm 8*2mm,130pcs,13.46,20.19,1.98,有货,极限常规长滤嘴 Extreme Regular Long Filter 8*22mm 130pcs
华盛,极限细长滤嘴,滤嘴,6*22mm 6*2mm,180pcs,13.46,20.19,1.98,有货,极限细长滤嘴 Extreme Slim Long Filter 6*22mm 180pcs
华盛,黑马,滤嘴,6*15mm 6*1mm,,14.19,21.29,2.09,无货,黑马碳细滤嘴 Dark Horse Slim Filter Charcoal Carbon 6*15mm
华盛,煙先生,滤嘴,6*22mm 6*2mm,120pcs,14.45,21.67,2.13,有货,烟先生细长滤嘴 Smoking Slim Long Filter 6*22mm 120pcs
华盛,老人牌,滤嘴,8*22mm 8*2mm,150pcs,14.58,21.87,2.15,有货,老人牌常规长滤嘴 Zig Zag Regular Long Filter 8*22mm 150pcs
华盛,煙先生,滤嘴,8*22mm 8*2mm,100pcs,14.96,22.44,2.20,有货,烟先生常规长滤嘴 Smoking Filter Regular Long 8*22mm 100pcs
华盛,ZEN,滤嘴,5mm 20mm,200pcs,16.06,24.09,2.37,无货,ZEN 滤嘴 ZEN Filter 200pcs 7.5mm x 20mm
华盛,PURE,滤嘴,6*18mm 6*1mm,200pcs,18.90,28.35,2.78,有货,PURE 薄荷滤嘴 Pure Slims Menthol Filter 6*18mm 200pcs
华盛,PURE,滤嘴,5.3*25mm 5.3*2mm,200pcs,18.90,28.35,2.78,有货,PURE 超细超长滤嘴 Pure Super Slims Long Filter 5.3*25mm 200pcs
华盛,PURE,滤嘴,5.3*18mm 5.3*1mm,200pcs,18.90,28.35,2.78,有货,PURE 超细滤嘴 Pure Super Slims Filter 5.3*18mm 200pcs
华盛,PURE,滤嘴,5.3*18mm 5.3*1mm,200pcs,18.90,28.35,2.78,有货,PURE 薄荷滤嘴 Pure Super Slims Menthol Filter 5.3*18mm 200pcs
华盛,PURE,滤嘴,6*30mm 6*3mm,200pcs,20.70,31.05,3.05,有货,PURE 三倍活性炭细滤嘴 Pure Slims Triple Charcoal Filter 6*30mm 200pcs
华盛,PURE,滤嘴,7.8*25mm 7.8*2mm,150pcs,20.70,31.05,3.05,有货,PURE 超长滤嘴 Pure Regular Super Long Filter 7.8*25mm 150pcs
华盛,PURE,滤嘴,7.8*27mm 7.8*2mm,120pcs,20.70,31.05,3.05,有货,PURE 活性炭滤嘴 Pure Regular Charcoal Filter 7.8*27mm 120pcs
华盛,PURE,滤嘴,6*25mm 6*2mm,200pcs,20.70,31.05,3.05,有货,PURE 活性炭细滤嘴 Pure Slims Charcoal Filter 6*25mm 200pcs
华盛,PURE,滤嘴,5.3*30mm 5.3*3mm,200pcs,20.70,31.05,3.05,有货,PURE 活性炭滤嘴 Pure Super Slims Charcoal Filter 5.3*30mm 200pcs
华盛,PURE,滤嘴,5.3*25mm 5.3*2mm,200pcs,20.70,31.05,3.05,有货,PURE 薄荷醇滤嘴 Pure Super Slims Long Thread Menthol Filter 5.3*25mm 200pcs
华盛,PURE,滤嘴,6*25mm 6*2mm,200pcs,22.50,33.75,3.31,有货,PURE 留兰香细滤嘴 Pure Super Slims Long Spearmint Filter 6*25mm 200pcs
华盛,PURE,滤嘴,6*25mm 6*2mm,200pcs,22.50,33.75,3.31,有货,PURE 柠檬细滤嘴 Pure Super Slims Long Lemon Lime Filter 6*25mm 200pcs
华盛,PURE,滤嘴,6*25mm 6*2mm,200pcs,22.50,33.75,3.31,有货,PURE 樱桃细滤嘴 Pure Super Slims Long Cherry Filter 6*25mm 200pcs
华盛,PURE,滤嘴,6*25mm 6*2mm,200pcs,22.50,33.75,3.31,有货,PURE 蓝莓薄荷细滤嘴 Pure Super Slims Long Berry Menthol Filter 6*25mm 200pcs
华盛,PURE,滤嘴,6*25mm 6*2mm,200pcs,22.50,33.75,3.31,有货,PURE 香草细滤嘴 Pure Super Slims Long Vanilla Filter 6*25mm 200pcs
华盛,PURE,滤嘴,6*30mm 6*3mm,200pcs,22.50,33.75,3.31,有货,PURE 超长细薄荷滤嘴 Pure Slims Extreme Long Menthol Filter 6*30mm 200pcs
华盛,PURE,滤嘴,6*30mm 6*3mm,200pcs,22.50,33.75,3.31,有货,PURE 超长细滤嘴 Pure Slims Extreme Long Filter 6*30mm 200pcs
华盛,PURE,滤嘴,6*24mm 6*2mm,150pcs,27.00,40.50,3.98,有货,PURE 薄荷爆珠细滤嘴 Pure Super Slims Long Crush Ice Menthol 6*24mm 150pcs
华盛,PURE,滤嘴,5.3*30mm 5.3*3mm,600pcs,45.90,68.85,6.76,有货,PURE 活性炭细滤嘴 Pure Super Slims Charcoal Value Pack 5.3*30mm 600pcs
华盛,切斯特菲尔德,滤嘴,,,263.65,395.47,38.83,库存仅剩 1,切斯特菲尔德活性炭过滤 Chesterfield Charcoal Filter  (1条10盒）
华盛,云斯顿,滤嘴,,,364.34,546.51,53.66,无货,云斯顿红无滤嘴 Winston Filterless  (1条10盒）
华盛,丰收,卷纸,70mm,,1.92,2.88,0.28,有货,丰收卷纸 Harvest Rolling Paper 70mm
华盛,老人牌,卷纸,70mm,50册,2.24,3.36,0.33,有货,老人牌卷纸 Zig Zag Red Rolling Paper 70mm 50册/盒
华盛,煙先生,卷纸,70mm,,2.27,3.41,0.33,有货,烟先生卷纸 Smoking Rolling Paper 70mm
华盛,OCB,卷纸,70mm,,2.31,3.46,0.34,无货,OCB 蓝卷纸 OCB Blue Rolling Paper 70mm
华盛,老人牌,卷纸,70mm,50册,2.36,3.54,0.35,有货,老人牌切角卷纸 Zig Zag Cut Corner Rolling Paper 70mm 50册/盒
华盛,OCB,卷纸,70mm,,2.36,3.54,0.35,有货,OCB 慢燃黑卷纸 OCB Black Slowburn Rolling Paper 70mm
华盛,天鹅,卷纸,70mm,,2.68,4.02,0.39,无货,天鹅绿卷纸 Swan Green Rolling Paper 70mm
华盛,虎牌,卷纸,70mm,,2.68,4.02,0.39,有货,虎牌卷纸常规 Mascotte Regular Rolling Paper 70mm
华盛,Rizla,卷纸,70mm,,3.96,5.94,0.58,无货,R+蓝慢燃卷纸 Rizla Blue Rolling Paper 70mm
华盛,Rizla,卷纸,70mm,,3.96,5.94,0.58,无货,R+绿切角卷纸 Rizla Green Cut Corner Rolling Paper 70mm
华盛,煙先生,卷纸,70mm,,4.10,6.15,0.60,有货,烟先生褐色未漂白卷纸 Smoking Brown No 8 Rolling Paper 70mm
华盛,老人牌,卷纸,70mm,25册,4.82,7.23,0.71,有货,老人牌慢燃卷纸 Zig Zag Blue Slowburn Rolling Paper 70mm 25册/盒
华盛,OCB,卷纸,78mm,,4.82,7.23,0.71,有货,OCB 慢燃黑卷纸 OCB Black Slowburn Rolling Paper 78mm
华盛,黑马,卷纸,70mm,50s,4.97,7.46,0.73,有货,黑马甘草纸 Dark Horse Slowburn Licorice Paper 50s 70mm
华盛,Raw,卷纸,70mm,,5.00,7.50,0.74,有货,Raw 慢燃卷纸 Single Wide Slowburn Paper 70mm
华盛,舞女,卷纸,70mm,100s,5.52,8.28,0.81,无货,舞女切角卷纸 Marie Cut Corner Rolling Paper 100s 70mm
华盛,RAW,卷纸,,50张,5.90,8.85,0.87,有货,RAW 黑宽50张/册 Raw Black Single Wide Paper
华盛,煙先生,卷纸,70mm,,8.04,12.06,1.18,有货,烟先生甘草卷纸 Smoking Licorice Rolling Paper 70mm
华盛,黑马,空管,8*15mm 8*1mm,100s,11.53,17.29,1.70,无货,黑马空管 Dark Horse Regular Filter Tubes 100s 8*15mm
华盛,金冠,空管,5mm,120pcs,12.21,18.32,1.80,无货,金冠细空管 Korona Filter Tube 6.5mm 120pcs
华盛,虎牌,空管,8*15mm 8*1mm,100s,13.57,20.36,2.00,有货,虎牌滤嘴空管 Mascotte filter tube 8*15mm 100s
华盛,罗洛,空管,6.5*25mm 6.5*2mm,100pcs,14.84,22.26,2.19,有货,罗洛蓝空管 Rollo Blue Tube 6.5*25mm 100pcs
华盛,罗洛,空管,6.5*25mm 6.5*2mm,100pcs,15.50,23.25,2.28,无货,罗洛薄荷空管 Rollo Green Mint Tube 6.5*25mm 100pcs
华盛,黑马,空管,8*15mm 8*1mm,100s,17.75,26.62,2.61,无货,黑马碳滤嘴空管 Dark Horse Carbon Filter Tube 100s 8*15mm
华盛,OCB,空管,8*24mm 8*2mm,,22.83,34.24,3.36,有货,OCB 特长滤嘴空管 OCB Extra Long Filter Tube 200’s 8*24mm
华盛,虎牌,空管,8*24mm 8*2mm,200s,23.23,34.84,3.42,有货,虎牌特长滤嘴空管 Mascotte Extra Long Filter Tube 8*24mm 200s
华盛,黑马,空管,8*24mm 8*2mm,100s,26.62,39.93,3.92,有货,黑马慢燃滤嘴空管 Dark Horse Cannatubes Filter Tube 8*24mm 100s
华盛,黑马,空管,8*15mm 8*1mm,,26.62,39.93,3.92,有货,黑马黑棕滤嘴空管 Dark Horse Black Brown Filter Tube 8*15mm
华盛,黑马,空管,8*24mm 8*2mm,,26.62,39.93,3.92,有货,黑马特长滤嘴空管 Dark Horse Extra Long Filter Tube 8*24mm
华盛,黑马,空管,8*24mm 8*2mm,,36.94,55.41,5.44,无货,黑马特长碳滤嘴空管 Dark Horse Extra Long Carbon Filter Tube 8*24mm
华盛,黑马,空管,8*24mm 8*2mm,200s,42.12,63.18,6.20,库存仅剩 3,黑马黑碳空管 Dark Horse Black Carbon Tube 8*24mm 200s
华盛,黑马,空管,8*24mm 8*2mm,,44.38,66.57,6.54,无货,黑马碳铜空管 Dark Horse carbon copper Tube 8*24mm
华盛,史丹利,卷烟器,,,15.44,23.16,2.27,有货,史丹利不可调节卷烟器 Stanley Non Adjustable Roller
华盛,多明戈,卷烟器,,,16.91,25.37,2.49,有货,多明戈不可调节卷烟器 Domingo non adjustable Roller
华盛,RAW,卷烟器,6*70mm,,17.98,26.97,2.65,有货,RAW 可调节卷烟器 RAW Adjustable Roller 8 / 6*70mm
华盛,黑马,卷烟器,70mm,,23.20,34.80,3.42,无货,黑马可调节卷烟器 Dark Horse Adjustable Roller 70mm
