渠道,产品名称,品牌,产品大类,重量(克),含税价¥,克单价¥/g,500g单价¥,20支成本¥
pipeuncle,喇叭手 原味 (带纸),喇叭手,烟丝,18.4,58.5,3.18,1590.0,41.66
pipeuncle,喇叭手 薄荷醇 (带纸),喇叭手,烟丝,18.4,58.5,3.18,1590.0,41.66
pipeuncle,喇叭手 薄荷醇 (带纸),喇叭手,烟丝,18.4,58.5,3.18,1590.0,41.66
pipeuncle,COLTS 清爽薄荷 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 清爽薄荷 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 甜香樱桃 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 甜香樱桃 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 清甜荔枝 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 清甜荔枝 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 果香茉莉 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 果香茉莉 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 清新绿茶 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 清新绿茶 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,阿姆斯特丹 咖啡冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,阿姆斯特丹 咖啡冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,阿姆斯特丹 苹果冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,阿姆斯特丹 苹果冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,马霸选择#33 皇家基尔 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#33 皇家基尔 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#05 芳香 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#05 芳香 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,巴厘丝 浓郁弗吉尼亚 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,巴厘丝 浓郁弗吉尼亚 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,阿姆斯特丹 薄荷冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,阿姆斯特丹 薄荷冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,马霸选择#16 黑巧克力 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#16 黑巧克力 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#210 苹果 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#210 苹果 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#225 香草 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#225 香草 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#247 葡萄 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#247 葡萄 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#237 樱桃 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#237 樱桃 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#251 双薄荷 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#251 双薄荷 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,PS NUMBER 93 阿姆斯特丹 手卷 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 93 阿姆斯特丹 手卷 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,阿姆斯特丹 香草冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,阿姆斯特丹 香草冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,PS NUMBER 95 斯德哥尔摩 混合 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 95 斯德哥尔摩 混合 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,马霸选择#9 咖啡 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#9 咖啡 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,PS NUMBER 96 伦敦出口 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 96 伦敦出口 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 94 土耳其出口 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 94 土耳其出口 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 91 丹麦出口,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,PS NUMBER 91 丹麦出口,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,红田 黑醋栗 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 黑醋栗 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 樱桃 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 樱桃 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 苹果 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 苹果 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 葡萄 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 葡萄 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 皇家基尔 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 皇家基尔 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 榛果 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 榛果 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,PS NUMBER 95 斯德哥尔摩 混合,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,PS NUMBER 95 斯德哥尔摩 混合,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,红田 巧克力 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 巧克力 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 薄荷 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 薄荷 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 香蕉 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 香蕉 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 桃子 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 桃子 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 巧克力薄荷 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 巧克力薄荷 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 草莓 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 草莓 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 柑橘 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 柑橘 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 芒果 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 芒果 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 香橙 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 香橙 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 香草 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 香草 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,马霸选择#24 朗姆咖啡 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#24 朗姆咖啡 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,PS NUMBER 93 阿姆斯特丹 手卷,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,PS NUMBER 93 阿姆斯特丹 手卷,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,PS NUMBER 96 伦敦出口,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,PS NUMBER 96 伦敦出口,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,红田 树莓凤梨 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 树莓凤梨 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,PS NUMBER 91 丹麦出口 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 91 丹麦出口 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,红田 伯爵红茶 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 伯爵红茶 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,手卷精选 2号 (33包套餐),手卷,烟丝,18.4,1732.5,94.16,47080.0,1133.42
pipeuncle,红田 西瓜哈密瓜 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 西瓜哈密瓜 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,绿GV (金色弗吉尼亚),gv,烟丝,50.0,81.0,1.62,810.0,22.94
pipeuncle,鼓牌蔚蓝 15包 &  鼓牌原味 15包 组合,鼓牌,烟丝,50.0,1815.0,36.3,18150.0,439.1
pipeuncle,明亮黄 (金色弗吉尼亚),gv,烟丝,50.0,81.0,1.62,810.0,22.94
pipeuncle,喇叭手 金色 (带纸),喇叭手,烟丝,18.4,58.5,3.18,1590.0,41.66
pipeuncle,老霍本 黄,老霍本,烟丝,25.0,52.5,2.1,1050.0,28.7
pipeuncle,COLTS 苹果肉桂 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 苹果肉桂 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,美国精神 原味黄,美国精神,烟丝,30.0,73.5,2.45,1225.0,32.9
pipeuncle,美国精神 原味黄,美国精神,烟丝,30.0,73.5,2.45,1225.0,32.9
pipeuncle,鼓牌原味,鼓牌,烟丝,50.0,79.5,1.59,795.0,22.58
pipeuncle,鼓牌原味,鼓牌,烟丝,50.0,79.5,1.59,795.0,22.58
pipeuncle,喇叭手 原味 6OZ (170g 带纸),喇叭手,烟丝,170.0,504.0,2.96,1480.0,39.02
pipeuncle,喇叭手 金色 6OZ (170g 带纸),喇叭手,烟丝,170.0,504.0,2.96,1480.0,39.02
pipeuncle,鼓牌蔚蓝,鼓牌,烟丝,50.0,79.5,1.59,795.0,22.58
pipeuncle,鼓牌蔚蓝,鼓牌,烟丝,50.0,79.5,1.59,795.0,22.58
pipeuncle,COLTS 香草 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 香草 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,黑船长 弗吉尼亚(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,黑船长 弗吉尼亚(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,COLTS 顺滑原味 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,COLTS 顺滑原味 (带纸),COLTS,烟丝,30.0,48.0,1.6,800.0,22.7
pipeuncle,巴厘丝 优质弗吉尼亚 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,巴厘丝 优质弗吉尼亚 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,阿姆斯特丹 诚实 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,阿姆斯特丹 诚实 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,马霸选择#01 原味 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#01 原味 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸手卷 半干手卷 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,马霸手卷 半干手卷 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,红田 黑加仑 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,红田 黑加仑 (带纸),红田,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,PS NUMBER 94 土耳其出口,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,PS NUMBER 94 土耳其出口,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,马霸手卷 弗吉尼亚混合 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,马霸手卷 弗吉尼亚混合 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,阿姆斯特丹 葡萄冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,阿姆斯特丹 葡萄冰爽 (带纸),阿姆斯特丹,烟丝,25.0,42.0,1.68,840.0,23.66
pipeuncle,巴厘丝 圆润弗吉尼亚 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,巴厘丝 圆润弗吉尼亚 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,马霸手卷 美式混合 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,马霸手卷 美式混合 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,巴厘丝 中劲道 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,巴厘丝 中劲道 (带纸),巴厘丝,烟丝,40.0,72.0,1.8,900.0,25.1
pipeuncle,黑船长 明亮弗吉尼亚(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,黑船长 明亮弗吉尼亚(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,黑船长 香草(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,黑船长 香草(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,黑船长 樱桃(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,黑船长 樱桃(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,史丹利 重焙 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 重焙 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 弗吉尼亚 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 弗吉尼亚 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 天然 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 天然 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 特淡金黄 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 特淡金黄 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 经典 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 经典 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 浅金 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 浅金 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 美式混合 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 美式混合 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,PS NUMBER 90 挪威 手卷,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,PS NUMBER 90 挪威 手卷,PS,烟丝,150.0,226.5,1.51,755.0,21.62
pipeuncle,马霸选择#22 焦糖奶香 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,马霸选择#22 焦糖奶香 (带纸),马霸选择,烟丝,30.0,46.5,1.55,775.0,22.1
pipeuncle,奥尔德・肯德尔 中等调配,奥尔德,烟丝,30.0,75.0,2.5,1250.0,33.5
pipeuncle,奥尔德・肯德尔 金色调配,奥尔德,烟丝,30.0,75.0,2.5,1250.0,33.5
pipeuncle,史丹利 琥珀 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 琥珀 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,美国精神 原味蓝,美国精神,烟丝,30.0,73.5,2.45,1225.0,32.9
pipeuncle,美国精神 原味蓝,美国精神,烟丝,30.0,73.5,2.45,1225.0,32.9
pipeuncle,鼓牌原味 6包 & 鼓牌蔚蓝 6包 &  绿GV(金色弗吉尼亚) 6包 &  明亮黄 (金色弗吉尼亚) 6包 &  黑船长 弗吉尼亚(手卷丝) 6包 组合,鼓牌,烟丝,50.0,1788.0,35.76,17880.0,432.62
pipeuncle,老霍本 白金,老霍本,烟丝,25.0,52.5,2.1,1050.0,28.7
pipeuncle,PS NUMBER 90 挪威 手卷 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,PS NUMBER 90 挪威 手卷 (袋装 带纸),PS,烟丝,35.0,63.0,1.8,900.0,25.1
pipeuncle,马霸手卷 纯香 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,马霸手卷 纯香 (带纸),马霸手卷,烟丝,30.0,49.5,1.65,825.0,23.3
pipeuncle,史丹利 半重焙 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,史丹利 半重焙 (带纸),史丹利,烟丝,30.0,43.5,1.45,725.0,20.9
pipeuncle,奥尔德・肯德尔 深色调配,奥尔德,烟丝,30.0,75.0,2.5,1250.0,33.5
pipeuncle,喇叭手 金色 6OZ (170g 带纸) -,喇叭手,烟丝,170.0,504.0,2.96,1480.0,39.02
pipeuncle,奥尔德・肯德尔 中等调配 -,奥尔德,烟丝,30.0,75.0,2.5,1250.0,33.5
pipeuncle,黑船长 薄荷醇(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,黑船长 薄荷醇(手卷丝),黑船长,烟丝,50.0,64.5,1.29,645.0,18.98
pipeuncle,绿GV(金色弗吉尼亚) 10包 &  鼓牌蔚蓝 10包 &  鼓牌原味 10包 组合,gv,烟丝,50.0,1815.0,36.3,18150.0,439.1
huasheng,黑法官 Orlik Dark Strong Kentucky 50g,黑法官,烟丝,50.0,158.77,3.18,1590.0,41.66
huasheng,史丹利琥珀 Stanley Amber 30G,史丹利,烟丝,30.0,39.15,1.3,650.0,19.1
huasheng,霍本 Old Holborn 40g (限购- 每个订单限制1包）,霍本,烟丝,40.0,75.0,1.88,940.0,26.06
huasheng,琥珀 Amberleaf 30克 (限购- 每个订单限制1包）,琥珀,烟丝,30.0,75.0,2.5,1250.0,33.5
huasheng,彼得森3年橡木桶陈酿弗吉尼亚混合 Peterson 3 Years Cask Aged Virginia Mixture 50g,彼得森,烟斗丝,50.0,263.66,5.27,2635.0,66.74
huasheng,史丹利维吉尼亚 Stanley Virginia 30G,史丹利,烟丝,30.0,39.15,1.3,650.0,19.1
huasheng,黑蜘蛛冰冻莫吉托 Black Spider Frozen Mojito 40g,黑蜘蛛,烟丝,40.0,48.26,1.21,605.0,18.02
huasheng,黑蜘蛛柚子 Black Spider Yuzu 40g,黑蜘蛛,烟丝,40.0,48.26,1.21,605.0,18.02
huasheng,黑蜘蛛芒果酸奶昔 Black Spider Mango Lassi 40g,黑蜘蛛,烟丝,40.0,48.26,1.21,605.0,18.02
huasheng,小皇家樱桃 Royal Cherry 20g,小皇家,烟丝,20.0,22.16,1.11,555.0,16.82
huasheng,小皇家原味 Royal Original 20g,小皇家,烟丝,20.0,22.16,1.11,555.0,16.82
huasheng,红场天然 Red Field Natural 40g,红场,烟丝,40.0,50.69,1.27,635.0,18.74
huasheng,红场美混 Red Field American Blend 40g,红场,烟丝,40.0,50.69,1.27,635.0,18.74
huasheng,菠萝拉塔基亚切片 Erinmore Latakia Flake 50g,菠萝,烟斗丝,50.0,113.28,2.27,1135.0,30.74
huasheng,索拉你660银切片 Solani 660 Silver Flake 100g,索拉你,烟斗丝,100.0,279.58,2.8,1400.0,37.1
huasheng,拉特雷蛇之年 Rattray&#8217;s Year of Snake 100g,拉特雷,烟斗丝,100.0,0.01,0.0,0.0,3.5
huasheng,KK蛇年限定 Kohlhase &#038; Kopp Year of the Snake 100g,KK,烟斗丝,100.0,251.69,2.52,1260.0,33.74
huasheng,丹汉堡船长 Dan Veermaster 250g,丹,烟丝,250.0,486.79,1.95,975.0,26.9
huasheng,罗伯特麦康奈尔黑鹦鹉 Robert McConell Black Parrot 100g,罗伯特麦康奈尔,烟斗丝,100.0,291.31,2.91,1455.0,38.42
huasheng,巴西精神美混 Brazil Spirit American Blend 50g,巴西精神,烟丝,50.0,126.8,2.54,1270.0,33.98
huasheng,好味菠萝 Taste Pineapple 15g,好味,烟斗丝,15.0,19.09,1.27,635.0,18.74
huasheng,小皇家菠萝 Royal Pineapple 20g,小皇家,烟斗丝,20.0,22.16,1.11,555.0,16.82
huasheng,小皇家蓝莓 Royal Blueberry 20g,小皇家,烟丝,20.0,22.16,1.11,555.0,16.82
huasheng,小皇家苹果 Royal Apple 20g,小皇家,烟丝,20.0,22.16,1.11,555.0,16.82
huasheng,小皇家草莓 Royal Strawberry 20g,小皇家,烟丝,20.0,22.16,1.11,555.0,16.82
huasheng,小皇家香草 Royal Vanilla 20g,小皇家,烟丝,20.0,22.16,1.11,555.0,16.82
huasheng,拉特雷马林切片 Rattray&#8217;s Marlin Flake 100g,拉特雷,烟斗丝,100.0,264.83,2.65,1325.0,35.3
huasheng,黑船长樱桃 Captain Black Cherry 40g,黑船长,烟丝,40.0,47.47,1.19,595.0,17.78
huasheng,浅鼓 Drum Bright 50g,浅鼓,烟丝,50.0,87.75,1.75,875.0,24.5
huasheng,深鼓 Drum Original 50g,深鼓,烟丝,50.0,87.75,1.75,875.0,24.5
huasheng,黄巴厘 Bali Shag Yellow 40g,黄巴厘,烟丝,40.0,54.3,1.36,680.0,19.82
huasheng,蓝巴厘 Bali Shag Blue 40g,蓝巴厘,烟丝,40.0,54.3,1.36,680.0,19.82
huasheng,红巴厘 Bali Shag Red 40g,红巴厘,烟丝,40.0,54.3,1.36,680.0,19.82
huasheng,小骏马香草 Colts Vanilla 40g,小骏马,烟丝,40.0,40.71,1.02,510.0,15.74
huasheng,小骏马薄荷 Colts Menthol 40g,小骏马,烟丝,40.0,40.71,1.02,510.0,15.74
huasheng,小骏马樱桃 Colts Cherry 40g,小骏马,烟丝,40.0,40.71,1.02,510.0,15.74
huasheng,小骏马顺滑 Colts Smooth Taste 40g,小骏马,烟丝,40.0,40.71,1.02,510.0,15.74
huasheng,小骏马绿茶 Colts Green Tea 40g,小骏马,烟丝,40.0,40.71,1.02,510.0,15.74
huasheng,红场双香草 Red Field Double Vanilla 40g,红场,烟丝,40.0,50.69,1.27,635.0,18.74
huasheng,皇家酒梅 Ark Royal Wine Berry 40g,皇家酒梅,烟丝,40.0,56.51,1.41,705.0,20.42
huasheng,皇家椰子菠萝 Ark Royal Pina Colada 40g,皇家椰子菠萝,烟斗丝,40.0,56.51,1.41,705.0,20.42
