bigcommerce_custom_fields,bigcommerce_custom_fields_0,bigcommerce_images_0,bigcommerce_images_1,bigcommerce_images_2,bigcommerce_images_3,bigcommerce_images_4,bigcommerce_images_5,bigcommerce_images_6,bigcommerce_images_alt_0,bigcommerce_images_alt_1,bigcommerce_variants_0,bigcommerce_variants_1,bigcommerce_variants_2,bigcommerce_variants_3,bigcommerce_variants_4,bigcommerce_variants_5,brand,categories,description,discount,image_link,inventory_level,link,list_price,original_product_id,price,product_code,product_id,quantity,regular_price,reviews_average_score,sale_price,title,total_reviews
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Virginia/Perique""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/595/images/1005/Exclusive__88932.1756046692.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""680"", ""sku"": ""1CDEXB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/exclusive-bulk/""}","{""variant_id"": ""681"", ""sku"": ""1CDEXB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/exclusive-bulk/""}","{""variant_id"": ""682"", ""sku"": ""1CDEXB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/exclusive-bulk/""}","{""variant_id"": ""683"", ""sku"": ""1CDEXB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/exclusive-bulk/""}","{""variant_id"": ""684"", ""sku"": ""1CDEXB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/exclusive-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/595/images/1005/Exclusive__88932.1756046692.386.513.jpg?c=1,4,https://novapipesandtobacco.com/cornell-diehl/exclusive-bulk/,4.9500,595,4.9500,1CDEXB,595,1,4.95,0,0,Exclusive (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/596/images/1006/Odessa__93543.1756047177.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""686"", ""sku"": ""1CDODB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/odessa-bulk/""}","{""variant_id"": ""687"", ""sku"": ""1CDODB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/odessa-bulk/""}","{""variant_id"": ""688"", ""sku"": ""1CDODB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/odessa-bulk/""}","{""variant_id"": ""689"", ""sku"": ""1CDODB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/odessa-bulk/""}","{""variant_id"": ""690"", ""sku"": ""1CDODB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/odessa-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/596/images/1006/Odessa__93543.1756047177.386.513.jpg?c=1,10,https://novapipesandtobacco.com/cornell-diehl/odessa-bulk/,4.9500,596,4.9500,1CDODB,596,1,4.95,0,0,Odessa (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/597/images/1007/Super_Balkan__13639.1756047386.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""692"", ""sku"": ""1CDSPBB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/super-balkan-bulk/""}","{""variant_id"": ""693"", ""sku"": ""1CDSPBB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/super-balkan-bulk/""}","{""variant_id"": ""694"", ""sku"": ""1CDSPBB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/super-balkan-bulk/""}","{""variant_id"": ""695"", ""sku"": ""1CDSPBB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/super-balkan-bulk/""}","{""variant_id"": ""696"", ""sku"": ""1CDSPBB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/super-balkan-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/597/images/1007/Super_Balkan__13639.1756047386.386.513.jpg?c=1,8,https://novapipesandtobacco.com/cornell-diehl/super-balkan-bulk/,4.9500,597,4.9500,1CDSPBB,597,1,4.95,0,0,Super Balkan (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Virginia/Perique""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/598/images/1008/Bayou_Moring__40545.1756047541.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""698"", ""sku"": ""1CDBMB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/bayou-morning-bulk/""}","{""variant_id"": ""699"", ""sku"": ""1CDBMB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/bayou-morning-bulk/""}","{""variant_id"": ""700"", ""sku"": ""1CDBMB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/bayou-morning-bulk/""}","{""variant_id"": ""701"", ""sku"": ""1CDBMB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/bayou-morning-bulk/""}","{""variant_id"": ""702"", ""sku"": ""1CDBMB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/bayou-morning-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/598/images/1008/Bayou_Moring__40545.1756047541.386.513.jpg?c=1,2,https://novapipesandtobacco.com/cornell-diehl/bayou-morning-bulk/,4.9500,598,4.9500,1CDBMB,598,1,4.95,0,0,Bayou Morning (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/599/images/1009/Star_of_The_East__73719.1756048139.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""704"", ""sku"": ""1SOTEB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/star-of-the-east-bulk/""}","{""variant_id"": ""705"", ""sku"": ""1SOTEB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/star-of-the-east-bulk/""}","{""variant_id"": ""706"", ""sku"": ""1SOTEB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/star-of-the-east-bulk/""}","{""variant_id"": ""707"", ""sku"": ""1SOTEB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/star-of-the-east-bulk/""}","{""variant_id"": ""708"", ""sku"": ""1SOTEB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/star-of-the-east-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/599/images/1009/Star_of_The_East__73719.1756048139.386.513.jpg?c=1,4,https://novapipesandtobacco.com/cornell-diehl/star-of-the-east-bulk/,4.9500,599,4.9500,1SOTEB,599,1,4.95,0,0,Star of the East (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Burley[:ATTR:]Blending""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/618/images/1029/Dark_Fired_Kentucky__85567.1757117916.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""728"", ""sku"": ""1CDDFKB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/dark-fired-kentucky-bulk/""}","{""variant_id"": ""729"", ""sku"": ""1CDDFKB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/dark-fired-kentucky-bulk/""}","{""variant_id"": ""730"", ""sku"": ""1CDDFKB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/dark-fired-kentucky-bulk/""}","{""variant_id"": ""731"", ""sku"": ""1CDDFKB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/dark-fired-kentucky-bulk/""}","{""variant_id"": ""732"", ""sku"": ""1CDDFKB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/dark-fired-kentucky-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/618/images/1029/Dark_Fired_Kentucky__85567.1757117916.386.513.jpg?c=1,1,https://novapipesandtobacco.com/pipe-tobacco/dark-fired-kentucky-bulk/,4.9500,618,4.9500,1CDDFKB,618,1,4.95,0,0,Dark Fired Kentucky (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Burley""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/740/images/1151/Old_Joe_Krantz_Blue_Label__30699.1760478048.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""867"", ""sku"": ""1CDOJKBLB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/old-joe-krantz-blue-label-bulk/""}","{""variant_id"": ""868"", ""sku"": ""1CDOJKBLB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/old-joe-krantz-blue-label-bulk/""}","{""variant_id"": ""869"", ""sku"": ""1CDOJKBLB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/old-joe-krantz-blue-label-bulk/""}","{""variant_id"": ""870"", ""sku"": ""1CDOJKBLB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/old-joe-krantz-blue-label-bulk/""}","{""variant_id"": ""871"", ""sku"": ""1CDOJKBLB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/old-joe-krantz-blue-label-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/740/images/1151/Old_Joe_Krantz_Blue_Label__30699.1760478048.386.513.jpg?c=1,,https://novapipesandtobacco.com/pipe-tobacco/old-joe-krantz-blue-label-bulk/,4.3500,740,4.3500,1CDOJKBLB,740,0,4.35,0,0,Old Joe Krantz Blue Label (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/922/images/1360/Bayou_Night__95575.1766437038.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""1105"", ""sku"": ""1CDBNBLK-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/bayou-night-bulk/""}","{""variant_id"": ""1106"", ""sku"": ""1CDBNBLK-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/bayou-night-bulk/""}","{""variant_id"": ""1107"", ""sku"": ""1CDBNBLK-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/bayou-night-bulk/""}","{""variant_id"": ""1108"", ""sku"": ""1CDBNBLK-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/bayou-night-bulk/""}","{""variant_id"": ""1109"", ""sku"": ""1CDBNBLK-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/bayou-night-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/922/images/1360/Bayou_Night__95575.1766437038.386.513.jpg?c=1,10,https://novapipesandtobacco.com/pipe-tobacco/bayou-night-bulk/,4.3500,922,4.3500,1CDBNBLK,922,1,4.35,0,0,Bayou Night (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/924/images/1362/Billy_Budd__61965.1766437728.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""1117"", ""sku"": ""1CDBBBLK-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/billy-budd-bulk/""}","{""variant_id"": ""1118"", ""sku"": ""1CDBBBLK-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/billy-budd-bulk/""}","{""variant_id"": ""1119"", ""sku"": ""1CDBBBLK-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/billy-budd-bulk/""}","{""variant_id"": ""1120"", ""sku"": ""1CDBBBLK-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/billy-budd-bulk/""}","{""variant_id"": ""1121"", ""sku"": ""1CDBBBLK-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/billy-budd-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/924/images/1362/Billy_Budd__61965.1766437728.386.513.jpg?c=1,7,https://novapipesandtobacco.com/pipe-tobacco/billy-budd-bulk/,4.3500,924,4.3500,1CDBBBLK,924,1,4.35,0,0,Billy Budd (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/925/images/1363/Byzantium__69192.1766437899.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""1123"", ""sku"": ""1CDBYZB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/byzantium-bulk/""}","{""variant_id"": ""1124"", ""sku"": ""1CDBYZB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/byzantium-bulk/""}","{""variant_id"": ""1125"", ""sku"": ""1CDBYZB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/byzantium-bulk/""}","{""variant_id"": ""1126"", ""sku"": ""1CDBYZB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/byzantium-bulk/""}","{""variant_id"": ""1127"", ""sku"": ""1CDBYZB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/byzantium-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/925/images/1363/Byzantium__69192.1766437899.386.513.jpg?c=1,13,https://novapipesandtobacco.com/pipe-tobacco/byzantium-bulk/,4.3500,925,4.3500,1CDBYZB,925,1,4.35,0,0,Byzantium (Bulk),0
