brand,category,ftype,goods_type,goods_type_name,id,name,price,size,url
MEVIUS/梅比乌斯,日本香烟,1,1,单品,24,梅比乌斯/MEVIUS E系列 1mg 长支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,723,梅比乌斯/MEVIUS Strong 1mg 长支,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,37,梅比乌斯/MEVIUS E系列 10mg 长支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,8,梅比乌斯/MEVIUS 超淡 6mg 长支 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,22,梅比乌斯/MEVIUS E系列 6mg 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
Peace/和平,日本香烟,1,1,单品,64,和平/Peace 黄 21mg 软盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
Peace/和平,日本香烟,1,1,单品,65,和平/Peace 淡味 10mg 硬盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
Peace/和平,日本香烟,1,1,单品,74,和平/Peace 小雪茄,650,,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
Peace/和平,日本香烟,1,1,单品,63,和平/Peace 无嘴 28mg 10支 硬盒,300,10支,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
Peace/和平,日本香烟,1,1,单品,61,和平/Peace 无嘴 28mg 50支 罐装,1500,50支,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
Peace/和平,日本香烟,1,1,单品,72,和平/Peace 超淡 6mg 硬盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
Pianissmo/碧丝梦,日本香烟,1,1,单品,108,碧丝梦/Pianissmo Petil 薄荷 1mg,570,,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
Pianissmo/碧丝梦,日本香烟,1,1,单品,109,碧丝梦/Pianissmo Icene 薄荷 5mg,570,,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
Pianissmo/碧丝梦,日本香烟,1,1,单品,110,碧丝梦/Pianissmo Precia 薄荷 1mg,570,,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
Pianissmo/碧丝梦,日本香烟,1,1,单品,107,碧丝梦/Pianissmo Aria 薄荷 1mg,570,,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,44,七星/SevenStars 碳滤 14mg 软盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,46,七星/SevenStars 碳滤 10mg 硬盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,47,七星/SevenStars 碳滤 7mg 硬盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,1,七星/SevenStars Bold Black 18mg,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,45,七星/SevenStars 碳滤 14mg【硬盒】,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,49,七星/SevenStars 薄荷 8mg 硬盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,48,七星/SevenStars 薄荷 12mg 硬盒,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
SevenStars/七星,日本香烟,1,1,单品,578,七星/SevenStars Menthol Solid White 18mg,600,,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
Wakaba/若叶,日本香烟,1,1,单品,105,若叶/Wakaba 香烟,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=9&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,50,云斯顿/Winston Caster 白 5mg 软盒,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,62,云斯顿/Winston 红 12mg 软盒,530,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,51,云斯顿/Winston Caster 白 5mg 硬盒,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,53,云斯顿/Winston Caster 白 3mg 硬盒,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,56,云斯顿/Winston Caster 白 1mg 长支 硬盒,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,55,云斯顿/Winston Cabin 红 8mg 硬盒,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,58,云斯顿/Winston Cabin 红 5mg 硬盒,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
Winston/云斯顿,日本香烟,1,1,单品,60,云斯顿/Winston Cabin 红 1mg 硬盒,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
海马/ウルマ,日本香烟,1,1,单品,442,海马,530,,https://ribenyan.com/index.php?m=goods&a=list&brand=53&goods_type=1&ftype=1
APACHE/,外国香烟,2,1,单品,315,Apache Red,480,,https://ribenyan.com/index.php?m=goods&a=list&brand=14&goods_type=1&ftype=2
Ark Royal/老船长,外国香烟,2,1,单品,230,老船长/Ark Royal Sweet,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
Ark Royal/老船长,外国香烟,2,1,单品,233,老船长/Ark Royal Black Chocolate 黑巧克力,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
Ark Royal/老船长,外国香烟,2,1,单品,963,老船长/Ark Royal Caramel Macchiato,550,,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
Ark Royal/老船长,外国香烟,2,1,单品,229,老船长/Ark Royal Apple Mint 苹果薄荷,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
Ark Royal/老船长,外国香烟,2,1,单品,228,老船长/Ark Royal Pipe,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
Ark Royal/老船长,外国香烟,2,1,单品,231,老船长/Ark Royal Paradise Tea,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
Ark Royal/老船长,外国香烟,2,1,单品,232,老船长/Ark Royal Paradise Tea 细支 1mg,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
Bentley/宾利,外国香烟,2,1,单品,350,宾利/Bentley Black,700,,https://ribenyan.com/index.php?m=goods&a=list&brand=15&goods_type=1&ftype=2
Bentley/宾利,外国香烟,2,1,单品,352,宾利/Bentley 薄荷,700,,https://ribenyan.com/index.php?m=goods&a=list&brand=15&goods_type=1&ftype=2
BlackDevil/黑魔鬼,外国香烟,2,1,单品,788,黑魔鬼/BlackDevil 可可 限量版,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
BlackDevil/黑魔鬼,外国香烟,2,1,单品,259,黑魔鬼/BlackDevil 原味,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
BlackDevil/黑魔鬼,外国香烟,2,1,单品,263,黑魔鬼/BlackDevil 粉红香草,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
BlackDevil/黑魔鬼,外国香烟,2,1,单品,265,黑魔鬼/BlackDevil 摩卡香草,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
BlackDevil/黑魔鬼,外国香烟,2,1,单品,264,黑魔鬼/BlackDevil 薄荷香草,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
BlackDevil/黑魔鬼,外国香烟,2,1,单品,258,黑魔鬼/BlackDevil 北极薄荷,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
BlackDevil/黑魔鬼,外国香烟,2,1,单品,262,黑魔鬼/BlackDevil 可可,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,253,黑杰克/BlackJack Supasawa Pineapple 8mg (菠萝),500,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,251,黑杰克/BlackJack Supasawa Random 5mg (5种爆珠随机),550,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,255,黑杰克/BlackJack Supasawa Lime 8mg (青柠),500,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,257,黑杰克/BlackJack Supasawa Lemon 8mg (柠檬),500,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,254,黑杰克/BlackJack Supasawa Mango 5mg (芒果),500,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,252,黑杰克/BlackJack Supasawa Grapefruit 5mg (葡萄柚),500,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,256,黑杰克/BlackJack Supasawa Lemon 5mg (柠檬),500,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,309,黑杰克/BlackJack Ocean+Change,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,301,黑杰克/BlackJack Ocean Mint,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,308,黑杰克/BlackJack Ocean Blue,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,300,黑杰克/BlackJack Island Black,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,307,黑杰克/BlackJack Island Brown,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,310,黑杰克/BlackJack Compact Brown,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,312,黑杰克/BlackJack Compact Black,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,311,黑杰克/BlackJack Compact+Change,490,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackJack/黑杰克,外国香烟,2,1,单品,1014,黑杰克/BlackJack Supasawa Blueberry 5mg (蓝莓),500,,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
BlackStone/黑石,外国香烟,2,1,单品,789,BlackStone American Cherry,670,,https://ribenyan.com/index.php?m=goods&a=list&brand=114&goods_type=1&ftype=2
Bohem/宝亨,外国香烟,2,1,单品,269,宝亨/Bohem Cigar No.6 6mg,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
Bohem/宝亨,外国香烟,2,1,单品,271,宝亨/Bohem Cigar Mojito Double 5mg,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
Bohem/宝亨,外国香烟,2,1,单品,944,宝亨/Bohem Cigar Mini Super Slim Sepia,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
Bohem/宝亨,外国香烟,2,1,单品,270,宝亨/Bohem Cigar Mojito 6mg,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
Bohem/宝亨,外国香烟,2,1,单品,272,宝亨/Bohem Cigar Mojito One 1mg,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
Bohem/宝亨,外国香烟,2,1,单品,946,宝亨/Bohem Cigar Mini Super Slim Ivory,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
