id,name,brand,category,price,goods_type,goods_type_name,ftype,url
1013,加热烟弹套餐2606O——TEREA烟弹15款各1包,加热烟套餐/,套餐,9300,11,套餐,10,https://ribenyan.com/index.php?m=goods&a=list&brand=117&goods_type=11&ftype=10
966,香烟套餐2604L——9款各1包 含和平铁罐,香烟套餐/,套餐,6200,11,套餐,10,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
802,香烟套餐2601E——8款各1包 含和平铁罐,香烟套餐/,套餐,6060,11,套餐,10,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
801,香烟套餐2601D——12款各1包,香烟套餐/,套餐,6550,11,套餐,10,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
809,香烟套餐2601G——12款各1包,香烟套餐/,套餐,6970,11,套餐,10,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
98,美国精神/AmericanSpirit 有机烟叶 绿松石 12mg 14支装,AmericanSpirit/美国精神,日本香烟,420,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
99,美国精神/AmericanSpirit 有机烟叶 金色 6mg 14支装,AmericanSpirit/美国精神,日本香烟,420,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
101,美国精神/AmericanSpirit 淡味 8mg 14支装,AmericanSpirit/美国精神,日本香烟,420,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
102,美国精神/AmericanSpirit 有机薄荷 淡味 9mg 14支装,AmericanSpirit/美国精神,日本香烟,420,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
100,美国精神/AmericanSpirit 有机烟叶 ONE 1mg 14支装,AmericanSpirit/美国精神,日本香烟,420,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
103,美国精神/AmericanSpirit 有机薄荷 超淡 5mg 14支装,AmericanSpirit/美国精神,日本香烟,420,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
104,美国精神/AmericanSpirit 有机薄荷 ONE 1mg 14支装,AmericanSpirit/美国精神,日本香烟,420,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
75,骆驼/Camel Craft 14mg 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
76,骆驼/Camel Craft 12mg 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
88,骆驼/Camel Craft 薄荷 梨爆珠 5mg 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
92,骆驼/Camel Craft 薄荷 莓果爆珠 5mg 长支 细支,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
87,骆驼/Camel Craft 薄荷 梨爆珠 8mg 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
79,骆驼/Camel Craft 薄荷 莓果爆珠 8mg 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
80,骆驼/Camel Craft 薄荷 莓果爆珠 5mg 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
93,骆驼/Camel Craft 薄荷 莓果爆珠 1mg 长支 细支,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
81,骆驼/Camel Craft 10mg 硬盒 ,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
82,骆驼/Camel Craft 6mg 硬盒 ,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
89,骆驼/Camel Craft 1mg 长支 细支,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
77,骆驼/Camel Craft 薄荷 5mg 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
90,骆驼/Camel Craft 薄荷 5mg 长支 细支,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
86,骆驼/Camel Craft 薄荷 莓果爆珠 1mg 长支 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
84,骆驼/Camel Craft 1mg 长支 硬盒 ,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
83,骆驼/Camel Craft 3mg 硬盒 ,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
78,骆驼/Camel Craft 薄荷 1mg 长支 硬盒,Camel/骆驼,日本香烟,450,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
106,回声/Echo 香烟,Echo/回声,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=6&goods_type=1&ftype=1
706,Floyd 6,FLOYD/,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=98&goods_type=1&ftype=1
705,Floyd 1,FLOYD/,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=98&goods_type=1&ftype=1
96,喜力/Hi-lite 17mg 软盒,Hi-lite/喜力,日本香烟,520,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=11&goods_type=1&ftype=1
97,喜力/Hi-lite 薄荷 10mg,Hi-lite/喜力,日本香烟,520,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=11&goods_type=1&ftype=1
67,希望/Hope 原味 14mg 10支 硬盒,Hope/希望,日本香烟,300,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
69,希望/Hope 淡味 9mg 10支 硬盒,Hope/希望,日本香烟,300,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
71,希望/Hope 超淡 6mg 10支 硬盒,Hope/希望,日本香烟,300,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
85,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 8mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
25,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 5mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
41,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 5mg 长支 细支,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
27,梅比乌斯/MEVIUS Premium薄荷 黄色爆珠 5mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
9,梅比乌斯/MEVIUS 特淡 3mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
2,梅比乌斯/MEVIUS RICH 12mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
6,梅比乌斯/MEVIUS 超淡 6mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
16,梅比乌斯/MEVIUS 1mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
4,梅比乌斯/MEVIUS 10mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
1011,梅比乌斯/MEVIUS E系列 12mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
42,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 1mg 长支 细支,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
35,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 5mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
39,梅比乌斯/MEVIUS E系列 3mg 长支 细支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
11,梅比乌斯/MEVIUS 淡味 8mg 软盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
28,梅比乌斯/MEVIUS Premium薄荷 黄色爆珠 1mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
43,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 1mg 长支 细支,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
26,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 1mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
31,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 8mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
5,梅比乌斯/MEVIUS 10mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
3,梅比乌斯/MEVIUS RICH 12mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
10,梅比乌斯/MEVIUS 10mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
14,梅比乌斯/MEVIUS 特淡 3mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
40,梅比乌斯/MEVIUS E系列 1mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
32,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 5mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
34,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 8mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
17,梅比乌斯/MEVIUS 1mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
38,梅比乌斯/MEVIUS E系列 6mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
33,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 1mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
15,梅比乌斯/MEVIUS 特淡 3mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
13,梅比乌斯/MEVIUS 淡味 8mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
36,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 1mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
21,梅比乌斯/MEVIUS E系列 10mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
18,梅比乌斯/MEVIUS 1mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
7,梅比乌斯/MEVIUS 超淡 6mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
23,梅比乌斯/MEVIUS E系列 3mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
12,梅比乌斯/MEVIUS 淡味 8mg 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
24,梅比乌斯/MEVIUS E系列 1mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
723,梅比乌斯/MEVIUS Strong 1mg 长支,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
37,梅比乌斯/MEVIUS E系列 10mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
8,梅比乌斯/MEVIUS 超淡 6mg 长支 硬盒,MEVIUS/梅比乌斯,日本香烟,580,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
22,梅比乌斯/MEVIUS E系列 6mg 硬盒,MEVIUS/梅比乌斯,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
64,和平/Peace 黄 21mg 软盒,Peace/和平,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
65,和平/Peace 淡味 10mg 硬盒,Peace/和平,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
74,和平/Peace 小雪茄,Peace/和平,日本香烟,650,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
63,和平/Peace 无嘴 28mg 10支 硬盒,Peace/和平,日本香烟,300,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
61,和平/Peace 无嘴 28mg 50支 罐装,Peace/和平,日本香烟,1500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
72,和平/Peace 超淡 6mg 硬盒,Peace/和平,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=4&goods_type=1&ftype=1
108,碧丝梦/Pianissmo Petil 薄荷 1mg,Pianissmo/碧丝梦,日本香烟,570,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
109,碧丝梦/Pianissmo Icene 薄荷 5mg,Pianissmo/碧丝梦,日本香烟,570,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
110,碧丝梦/Pianissmo Precia 薄荷 1mg,Pianissmo/碧丝梦,日本香烟,570,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
107,碧丝梦/Pianissmo Aria 薄荷 1mg,Pianissmo/碧丝梦,日本香烟,570,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=5&goods_type=1&ftype=1
44,七星/SevenStars 碳滤 14mg 软盒,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
46,七星/SevenStars 碳滤 10mg 硬盒,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
47,七星/SevenStars 碳滤 7mg 硬盒,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
1,七星/SevenStars Bold Black 18mg,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
45,七星/SevenStars 碳滤 14mg【硬盒】,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
49,七星/SevenStars 薄荷 8mg 硬盒,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
48,七星/SevenStars 薄荷 12mg 硬盒,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
578,七星/SevenStars Menthol Solid White 18mg,SevenStars/七星,日本香烟,600,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=1&goods_type=1&ftype=1
105,若叶/Wakaba 香烟,Wakaba/若叶,日本香烟,500,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=9&goods_type=1&ftype=1
50,云斯顿/Winston Caster 白 5mg 软盒,Winston/云斯顿,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
62,云斯顿/Winston 红 12mg 软盒,Winston/云斯顿,日本香烟,530,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
51,云斯顿/Winston Caster 白 5mg 硬盒,Winston/云斯顿,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
53,云斯顿/Winston Caster 白 3mg 硬盒,Winston/云斯顿,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
56,云斯顿/Winston Caster 白 1mg 长支 硬盒,Winston/云斯顿,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
55,云斯顿/Winston Cabin 红 8mg 硬盒,Winston/云斯顿,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
58,云斯顿/Winston Cabin 红 5mg 硬盒,Winston/云斯顿,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
60,云斯顿/Winston Cabin 红 1mg 硬盒,Winston/云斯顿,日本香烟,540,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=3&goods_type=1&ftype=1
442,海马,海马/ウルマ,日本香烟,530,1,单品,1,https://ribenyan.com/index.php?m=goods&a=list&brand=53&goods_type=1&ftype=1
315,Apache Red,APACHE/,外国香烟,480,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=14&goods_type=1&ftype=2
230,老船长/Ark Royal Sweet,Ark Royal/老船长,外国香烟,540,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
233,老船长/Ark Royal Black Chocolate 黑巧克力,Ark Royal/老船长,外国香烟,540,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
963,老船长/Ark Royal Caramel Macchiato,Ark Royal/老船长,外国香烟,550,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
229,老船长/Ark Royal Apple Mint 苹果薄荷,Ark Royal/老船长,外国香烟,540,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
228,老船长/Ark Royal Pipe,Ark Royal/老船长,外国香烟,540,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
231,老船长/Ark Royal Paradise Tea,Ark Royal/老船长,外国香烟,540,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
232,老船长/Ark Royal Paradise Tea 细支 1mg,Ark Royal/老船长,外国香烟,520,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=46&goods_type=1&ftype=2
350,宾利/Bentley Black,Bentley/宾利,外国香烟,700,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=15&goods_type=1&ftype=2
352,宾利/Bentley 薄荷,Bentley/宾利,外国香烟,700,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=15&goods_type=1&ftype=2
788,黑魔鬼/BlackDevil 可可 限量版,BlackDevil/黑魔鬼,外国香烟,580,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
259,黑魔鬼/BlackDevil 原味,BlackDevil/黑魔鬼,外国香烟,580,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
263,黑魔鬼/BlackDevil 粉红香草,BlackDevil/黑魔鬼,外国香烟,580,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
265,黑魔鬼/BlackDevil 摩卡香草,BlackDevil/黑魔鬼,外国香烟,580,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
264,黑魔鬼/BlackDevil 薄荷香草,BlackDevil/黑魔鬼,外国香烟,580,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
258,黑魔鬼/BlackDevil 北极薄荷,BlackDevil/黑魔鬼,外国香烟,580,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
262,黑魔鬼/BlackDevil 可可,BlackDevil/黑魔鬼,外国香烟,580,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=43&goods_type=1&ftype=2
253,黑杰克/BlackJack Supasawa Pineapple 8mg (菠萝),BlackJack/黑杰克,外国香烟,500,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
251,黑杰克/BlackJack Supasawa Random 5mg (5种爆珠随机),BlackJack/黑杰克,外国香烟,550,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
255,黑杰克/BlackJack Supasawa Lime 8mg (青柠),BlackJack/黑杰克,外国香烟,500,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
257,黑杰克/BlackJack Supasawa Lemon 8mg (柠檬),BlackJack/黑杰克,外国香烟,500,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
254,黑杰克/BlackJack Supasawa Mango 5mg (芒果),BlackJack/黑杰克,外国香烟,500,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
252,黑杰克/BlackJack Supasawa Grapefruit 5mg (葡萄柚),BlackJack/黑杰克,外国香烟,500,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
256,黑杰克/BlackJack Supasawa Lemon 5mg (柠檬),BlackJack/黑杰克,外国香烟,500,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
309,黑杰克/BlackJack Ocean+Change,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
301,黑杰克/BlackJack Ocean Mint,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
308,黑杰克/BlackJack Ocean Blue,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
300,黑杰克/BlackJack Island Black,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
307,黑杰克/BlackJack Island Brown,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
310,黑杰克/BlackJack Compact Brown,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
312,黑杰克/BlackJack Compact Black,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
311,黑杰克/BlackJack Compact+Change,BlackJack/黑杰克,外国香烟,490,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
1014,黑杰克/BlackJack Supasawa Blueberry 5mg (蓝莓),BlackJack/黑杰克,外国香烟,500,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=42&goods_type=1&ftype=2
789,BlackStone American Cherry,BlackStone/黑石,外国香烟,670,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=114&goods_type=1&ftype=2
269,宝亨/Bohem Cigar No.6 6mg,Bohem/宝亨,外国香烟,520,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
271,宝亨/Bohem Cigar Mojito Double 5mg,Bohem/宝亨,外国香烟,520,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
944,宝亨/Bohem Cigar Mini Super Slim Sepia,Bohem/宝亨,外国香烟,520,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
270,宝亨/Bohem Cigar Mojito 6mg,Bohem/宝亨,外国香烟,520,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
272,宝亨/Bohem Cigar Mojito One 1mg,Bohem/宝亨,外国香烟,520,1,单品,2,https://ribenyan.com/index.php?m=goods&a=list&brand=16&goods_type=1&ftype=2
